;;;;;;
IM;;;;;;
MOVES;BPI2020_rp;BPI2020dd;BPI2019;BPI2012;BPI 2018;
DSA;12,48;6,03;27,01;35,85;24,43;
DLMA;12,52;6,27;27,70;38,38;25,32;
DSAexp=1;12,48;6,03;27,01;35,85;24,43;
DSAexp=1,25;12,57;6,48;28,42;39,50;25,54;
DSAexp=1,5;12,62;6,86;28,78;40,87;26,02;
DSAexp=1,75;12,62;6,96;29,18;41,46;26,46;
DSAexp=2;12,62;7,01;29,37;42,31;27,70;
DPSexp=1;12,48;6,03;27,01;35,85;24,43;
DPSexp=1,25;12,57;6,48;28,05;39,41;26,39;
DPSexp=1,5;12,62;6,86;28,25;40,85;26,46;
DPSexp=1,75;12,62;6,96;28,31;41,54;27,44;
DPSexp=2;12,62;7,01;28,55;41,69;31,00;
DSEASTARA;12,48;6,37;27,70;35,85;26,44;
DD;12,52;6,32;27,81;38,38;24,54;
;;;;;;
;;;;;;
IM;;;;;;
TIMES;BPI2020_rp;BPI2020dd;BPI2019;BPI 2012;BPI 2018;
DSA;10,53;0,70;572,66;342,88;63068,01;
DLMA;1,17;0,15;62,03;54,35;3168,76;
DSAexp=1;10,56;0,74;586,61;342,07;68460,05;
DSAexp=1,25;4,32;0,56;278,09;141,01;3196,83;
DSAexp=1,5;1,87;0,45;191,13;103,97;1007,39;
DSAexp=1,75;1,48;0,39;156,97;90,85;597,25;
DSAexp=2;1,19;0,36;136,97;80,43;434,38;
DPSexp=1;8,87;0,49;356,76;204,85;33183,15;
DPSexp=1,25;3,75;0,36;159,30;80,63;3402,66;
DPSexp=1,5;1,50;0,26;101,80;52,50;1146,00;
DPSexp=1,75;1,13;0,22;69,85;41,71;754,74;
DPSexp=2;0,96;0,20;56,88;35,22;468,19;
DSEASTARA;0,82;0,79;8426,78;333,15;5607,40;
DD;1,05;0,62;1584,70;53,09;2568,77;
;;;;;;
;;;;;;
SM;;;;;;
MOVES;BPI2020_rp;BPI2020dd;BPI2019;BPI2012;BPI 2018;
DSA;3,72;3,55;26,00;36,11;20,51;
DLMA;3,75;3,55;26,58;36,79;21,22;
DSAexp=1;3,72;3,55;26,00;36,11;20,51;
DSAexp=1,25;3,82;3,71;26,81;37,21;21,53;
DSAexp=1,5;3,89;3,85;26,92;38,57;22,00;
DSAexp=1,75;3,93;3,92;27,00;40,42;22,15;
DSAexp=2;4,02;4,27;27,15;41,28;22,43;
DPSexp=1;3,72;3,55;26,00;36,11;20,51;
DPSexp=1,25;3,82;3,71;26,73;37,25;21,56;
DPSexp=1,5;3,89;3,85;26,86;38,49;22,00;
DPSexp=1,75;3,93;3,92;26,91;39,89;22,18;
DPSexp=2;4,02;4,27;27,12;40,55;22,42;
DSEASTARA;3,75;3,55;26,55;36,11;21,33;
DD;3,81;3,69;26,92;36,79;22,28;
;;;;;;
;;;;;;
SM;;;;;;
TIMES;BPI2020_rp;BPI2020dd;BPI2019;BPI 2012;BPI 2018;
DSA;0,45;0,35;287,72;309,81;122,20;
DLMA;0,10;0,08;41,60;45,37;23,76;
DSAexp=1;0,50;0,46;292,71;321,21;130,21;
DSAexp=1,25;0,37;0,41;156,59;136,06;63,80;
DSAexp=1,5;0,30;0,29;129,83;95,47;47,26;
DSAexp=1,75;0,35;0,27;109,94;80,67;43,99;
DSAexp=2;0,28;0,27;101,27;69,96;38,56;
DPSexp=1;0,29;0,20;152,07;188,52;73,78;
DPSexp=1,25;0,21;0,16;78,00;75,58;32,32;
DPSexp=1,5;0,16;0,14;56,32;48,97;21,30;
DPSexp=1,75;0,15;0,13;43,30;34,54;17,58;
DPSexp=2;0,14;0,13;41,20;28,26;16,31;
DSEASTARA;0,69;0,67;9499,91;313,32;542,40;
DD;0,70;0,60;1580,67;43,77;192,75;
;;;;;;
;;;;;;
Artificial;;;;;;
MOVES;M1;M2;M3;M4;M5;
DSA;6,22;10,31;9,47;22,80;14,72;
DLMA;6,23;10,31;9,47;22,87;14,72;
DSAexp=1;6,22;10,31;9,47;22,80;14,72;
DSAexp=1,25;6,24;10,45;10,77;25,92;15,04;
DSAexp=1,5;6,30;10,67;14,32;29,11;15,41;
DSAexp=1,75;6,32;10,78;19,83;31,09;15,80;
DSAexp=2;6,35;10,86;23,26;31,32;16,56;
DPSexp=1;6,22;10,31;9,47;22,80;14,72;
DPSexp=1,25;6,24;10,48;10,16;27,29;15,04;
DPSexp=1,5;6,31;10,69;22,16;26,70;15,41;
DPSexp=1,75;6,32;10,78;16,30;28,50;15,87;
DPSexp=2;6,35;10,86;107,69;88,61;16,77;
DSEASTARA;6,22;10,31;9,47;22,94;14,72;
DD;6,24;10,32;9,66;23,27;14,85;
;;;;;;
;;;;;;
Artificial;;;;;;
TIMES;M1;M2;M3;M4;M5;
DSA;27,60;160,60;271,63;34,31;13350,76;
DLMA;5,87;28,20;53,88;10,00;1047,19;
DSAexp=1;28,29;170,66;279,51;35,25;14042,54;
DSAexp=1,25;5,75;19,18;13,30;17,01;59,06;
DSAexp=1,5;3,55;8,50;11,30;10,33;20,48;
DSAexp=1,75;3,09;6,03;11,07;8,34;15,19;
DSAexp=2;2,94;5,40;11,63;7,03;13,34;
DPSexp=1;23,35;132,90;226,06;22,52;7743,95;
DPSexp=1,25;3,93;14,41;5,52;10,41;51,15;
DPSexp=1,5;1,98;5,42;4,67;6,13;15,76;
DPSexp=1,75;1,59;3,98;7,25;5,12;10,89;
DPSexp=2;1,37;3,32;3,08;3,14;9,12;
DSEASTARA;42,21;337,98;4794,74;698,29;24086,72;
DD;17,31;87,40;725,49;258,52;4658,41;
;;;;;;
;;;;;;